Angola,Africa,2006,2600,7.6,857.1
Argentina,South America,2006,5919,7,4932.3
Australia,Oceania,2006,36045,1.3,27633.4
Brazil,South America,2006,5886,2.8,4891.5
Canada,North America,2006,40386,3.1,33091.6
China,Asia,2006,2099,12.1,1642.6
Egypt,Africa,2006,1398,5,1176.3
France,Europe,2006,36444,1.7,31166.2
Germany,Europe,2006,36323,3.9,30765.6
India,Asia,2006,807,6.4,699.4
Indonesia,Asia,2006,1590,4.1,1127.6
Italy,Europe,2006,33502,1.5,28309.2
Japan,Asia,2006,35434,1.4,28338.8
Libya,Africa,2006,9336,4.9,6231.9
Malaysia,Asia,2006,6209,3.5,4599.5
Mexico,North America,2006,9068,3,7165.8
New Zealand,Oceania,2006,26671,1.6,20920.9
Russia,Europe,2006,6920,8.6,5322.9
South Africa,Africa,2006,5602,4.3,4632
South Korea,Asia,2006,21743,4.7,17911.8
Spain,Europe,2006,28365,2.4,24009.6
Sweden,Europe,2006,46594,4.1,40043.5
United Kingdom,Europe,2006,44600,2,38315.2
United States,North America,2006,46299,1.9,39758.8
Angola,Africa,2007,3122,9.9,819.7
Argentina,South America,2007,7245,7.9,6148
Australia,Oceania,2007,40960,3.2,30910.8
Brazil,South America,2007,7348,5,6100.6
Canada,North America,2007,44543,5.8,36480.6
China,Asia,2007,2694,13.6,2074.9
Egypt,Africa,2007,1668,5.2,1422.3
France,Europe,2007,41508,1.8,35446.5
Germany,Europe,2007,41587,3.1,35115.1
India,Asia,2007,1028,6,891.6
Indonesia,Asia,2007,1860,4.9,1318.8
Italy,Europe,2007,37823,1,31793.5
Japan,Asia,2007,35275,1.5,28275.1
Libya,Africa,2007,11300,4.8,7828.3
Malaysia,Asia,2007,7243,4.2,5493.7
Mexico,North America,2007,9643,0.8,7643.2
New Zealand,Oceania,2007,32511,2.1,25400.6
Russia,Europe,2007,9101,8.7,7230.3
South Africa,Africa,2007,6096,4,4898.7
South Korea,Asia,2007,24086,5.3,19914
Spain,Europe,2007,32550,1.7,27342.2
Sweden,Europe,2007,53700,2.7,46386.5
United Kingdom,Europe,2007,50567,1.6,43161.7
United States,North America,2007,47976,0.9,40523.9
Angola,Africa,2008,4081,7.1,367.1
Argentina,South America,2008,9021,3,7634.1
Australia,Oceania,2008,49602,1.6,37434.4
Brazil,South America,2008,8831,4.1,7270.9
Canada,North America,2008,46594,-0.1,37759.1
China,Asia,2008,3468,9.1,2579.1
Egypt,Africa,2008,2045,5.3,1702.8
France,Europe,2008,45334,-0.3,38533.6
Germany,Europe,2008,45427,1.2,37929.1
India,Asia,2008,999,1.6,852.1
Indonesia,Asia,2008,2167,4.6,1538.5
Italy,Europe,2008,40778,-1.6,33666.9
Japan,Asia,2008,39339,-1.1,30964.3
Libya,Africa,2008,14383,1.2,9813.8
Malaysia,Asia,2008,8475,2.8,6302.8
Mexico,North America,2008,10017,-0.4,7849.7
New Zealand,Oceania,2008,31290,-1.9,23851.3
Russia,Europe,2008,11635,5.2,9096.7
South Africa,Africa,2008,5761,1.8,4410.2
South Korea,Asia,2008,21350,2.2,17429.1
Spain,Europe,2008,35366,-0.7,29476.2
Sweden,Europe,2008,56153,-1.2,48492.5
United Kingdom,Europe,2008,47287,-1.1,39715.4
United States,North America,2008,48383,-1.1,40068.2
Angola,Africa,2009,3123,-2.8,735
Argentina,South America,2009,8225,-6.9,6937
Australia,Oceania,2009,42772,-0.1,33071.6
Brazil,South America,2009,8598,-1.1,7274.2
Canada,North America,2009,40773,-4,32922
China,Asia,2009,3832,8.9,2911
Egypt,Africa,2009,2329,2.7,2030.3
France,Europe,2009,41575,-3.4,35101.6
Germany,Europe,2009,41486,-5.5,34718.1
India,Asia,2009,1102,6.4,957.9
Indonesia,Asia,2009,2261,3.2,1672.3
Italy,Europe,2009,37080,-5.7,30591.2
Japan,Asia,2009,40855,-5.4,31694.2
Libya,Africa,2009,10275,-2,7719.8
Malaysia,Asia,2009,7292,-3.3,5509.7
Mexico,North America,2009,8003,-6.7,6283.8
New Zealand,Oceania,2009,28206,-1.1,22405.6
Russia,Europe,2009,8563,-7.8,6679
South Africa,Africa,2009,5863,-2.9,4738.8
South Korea,Asia,2009,19144,0.3,15426.8
Spain,Europe,2009,32042,-4.6,26731.1
Sweden,Europe,2009,46947,-5.2,39494.7
United Kingdom,Europe,2009,38713,-5,32389.2
United States,North America,2009,47100,-3.4,39044.6
Angola,Africa,2010,3588,1.1,1108.1
Argentina,South America,2010,10386,9.3,8803.5
Australia,Oceania,2010,52022,0.5,40009.7
Brazil,South America,2010,11286,6.5,9343.4
Canada,North America,2010,47448,1.9,38584.9
China,Asia,2010,4550,10.1,3362.9
Egypt,Africa,2010,2645,3.1,2252.8
France,Europe,2010,40638,1.4,34362.6
Germany,Europe,2010,41532,4.3,34849
India,Asia,2010,1358,7,1172
Indonesia,Asia,2010,3122,4.8,2325.8
Italy,Europe,2010,36001,1.4,29581
Japan,Asia,2010,44508,4.2,35065.8
Libya,Africa,2010,12065,3.9,8698.2
Malaysia,Asia,2010,9041,5.6,6765.5
Mexico,North America,2010,9271,3.6,7328.5
New Zealand,Oceania,2010,33700,0.4,26686.8
Russia,Europe,2010,10675,4.5,8407.9
South Africa,Africa,2010,7329,1.6,5888.9
South Korea,Asia,2010,23087,6.3,18884.6
Spain,Europe,2010,30503,-0.3,25459.6
Sweden,Europe,2010,52869,5.1,45157.2
United Kingdom,Europe,2010,39436,1.2,33417.5
United States,North America,2010,48468,1.7,41003.1
Angola,Africa,2011,4615,-0.2,1500.2
Argentina,South America,2011,12849,4.8,10956.8
Australia,Oceania,2011,62518,1,47826
Brazil,South America,2011,13246,3,10986.5
Canada,North America,2011,52087,2.1,42476.6
China,Asia,2011,5618,9,4002
Egypt,Africa,2011,2792,-0.4,2342.8
France,Europe,2011,43791,1.7,37138.1
Germany,Europe,2011,46645,5.9,39510.8
India,Asia,2011,1458,3.9,1256.5
Indonesia,Asia,2011,3643,4.7,2682.1
Italy,Europe,2011,38599,0.5,31632.2
Japan,Asia,2011,48168,0.1,38100.8
Libya,Africa,2011,5554,-62.4,4826.2
Malaysia,Asia,2011,10399,3.7,7881.4
Mexico,North America,2011,10203,2.2,7875.6
New Zealand,Oceania,2011,38438,1.6,30788
Russia,Europe,2011,14311,4.2,11266.6
South Africa,Africa,2011,8007,1.7,6382.1
South Korea,Asia,2011,25096,2.9,20496.8
Spain,Europe,2011,31636,-1.2,26176.2
Sweden,Europe,2011,60756,2.4,51553.5
United Kingdom,Europe,2011,42039,0.7,35730.9
United States,North America,2011,49887,0.8,42635.9
Angola,Africa,2012,5100,4.7,1774
Argentina,South America,2012,13083,-2.1,11132
Australia,Oceania,2012,68012,2.1,52858.4
Brazil,South America,2012,12370,1,10301.8
Canada,North America,2012,52678,0.7,42856.5
China,Asia,2012,6317,7.3,4591.3
Egypt,Africa,2012,3233,0,2741.8
France,Europe,2012,40875,-0.2,34395.2
Germany,Europe,2012,43858,0.2,36959.5
India,Asia,2012,1444,4.2,1246.5
Indonesia,Asia,2012,3694,4.6,2747.1
Italy,Europe,2012,35054,-3.2,28561.5
Japan,Asia,2012,48603,1.7,38602.1
Libya,Africa,2012,13025,121.8,9343.5
Malaysia,Asia,2012,10817,4,8064.7
Mexico,North America,2012,10242,2.2,7869.5
New Zealand,Oceania,2012,39983,1.7,32199.8
Russia,Europe,2012,15421,3.8,12128
South Africa,Africa,2012,7501,0.6,6007.8
South Korea,Asia,2012,25467,1.9,20786.8
Spain,Europe,2012,28324,-3,23565.6
Sweden,Europe,2012,58038,-1.3,49157.5
United Kingdom,Europe,2012,42463,0.8,35528.6
United States,North America,2012,51611,1.5,44736.3
Angola,Africa,2013,5255,1.3,2043.2
Argentina,South America,2013,13080,1.3,11123.5
Australia,Oceania,2013,68150,0.8,53239.2
Brazil,South America,2013,12300,2.1,10407.1
Canada,North America,2013,52653,1.3,42898.6
China,Asia,2013,7051,7.2,5139.7
Egypt,Africa,2013,3264,-0.1,2788.6
France,Europe,2013,42593,0.1,35867.3
Germany,Europe,2013,46286,0.2,38933.8
India,Asia,2013,1450,5.1,1251.5
Indonesia,Asia,2013,3624,4.2,2705.1
Italy,Europe,2013,35550,-3,28933.6
Japan,Asia,2013,40454,2.1,32486.5
Libya,Africa,2013,10364,-14.1,8303.5
Malaysia,Asia,2013,10970,3.3,8240
Mexico,North America,2013,10725,0,8212.7
New Zealand,Oceania,2013,42963,1.8,34994.3
Russia,Europe,2013,15975,1.5,12562.4
South Africa,Africa,2013,6832,0.9,5447.1
South Korea,Asia,2013,27183,2.7,22046.6
Spain,Europe,2013,29060,-1.1,24227.6
Sweden,Europe,2013,61127,0.3,51720.7
United Kingdom,Europe,2013,43445,1.5,36035.2
United States,North America,2013,53118,1.1,45675.5
Angola,Africa,2014,5408,1.2,2397.8
Argentina,South America,2014,12335,-3.6,10434
Australia,Oceania,2014,62511,1,48104.2
Brazil,South America,2014,12113,-0.4,10193.6
Canada,North America,2014,50893,1.8,41435.4
China,Asia,2014,7679,6.9,5716.8
Egypt,Africa,2014,3379,0.6,2911.3
France,Europe,2014,43011,0.5,36186.3
Germany,Europe,2014,47960,1.8,40300.8
India,Asia,2014,1574,6.2,1365.4
Indonesia,Asia,2014,3492,3.6,2625.3
Italy,Europe,2014,35518,-0.9,29021.6
Japan,Asia,2014,38109,0.5,30688.6
Libya,Africa,2014,6467,-24.5,5688.4
Malaysia,Asia,2014,11319,4.6,8430.8
Mexico,North America,2014,10922,1.5,8543.8
New Zealand,Oceania,2014,44553,2.1,36233.1
Russia,Europe,2014,14096,-1,11059.5
South Africa,Africa,2014,6433,0.2,5167.7
South Korea,Asia,2014,29250,2.6,23656.1
Spain,Europe,2014,29462,1.7,24650.8
Sweden,Europe,2014,60020,1.6,50800.6
United Kingdom,Europe,2014,47426,1.9,39476.9
United States,North America,2014,55048,1.7,47714.9
Angola,Africa,2015,4167,-2.5,2078.3
Argentina,South America,2015,13789,1.6,11821.4
Australia,Oceania,2015,56756,0.7,44138.5
Brazil,South America,2015,8814,-4.4,7486.6
Canada,North America,2015,43586,-0.1,35215.4
China,Asia,2015,8067,6.5,6055.3
Egypt,Africa,2015,3599,2.1,3247.9
France,Europe,2015,36638,0.8,30896.2
Germany,Europe,2015,41140,0.9,34715.8
India,Asia,2015,1606,6.8,1404.5
Indonesia,Asia,2015,3332,3.6,2540.6
Italy,Europe,2015,30230,0.9,24525.9
Japan,Asia,2015,34524,1.3,28043.7
Libya,Africa,2015,4338,-9.7,4020.8
Malaysia,Asia,2015,9955,3.7,7434.9
Mexico,North America,2015,9606,2,7601.6
New Zealand,Oceania,2015,38616,1.7,31554.1
Russia,Europe,2015,9313,-2.2,7454.9
South Africa,Africa,2015,5735,-0.3,4673.2
South Korea,Asia,2015,28732,2.3,23206.2
Spain,Europe,2015,25732,3.9,21692.5
Sweden,Europe,2015,51545,3.4,43145.7
United Kingdom,Europe,2015,44975,1.5,37385.6
United States,North America,2015,56823,2.1,49199.7